n,passes,wall_time,final_relgap,reg,strategy,reached_tol,ρ,seed,s,p,μ0
500,199,1.9334399700164795,9.963616246749971e-11,0.05,gradient,true,0.6,3,10,1000,0.95
500,773,6.770051002502441,9.427021592106979e-11,0.05,gradient,true,0.6,3,10,1000,0.99
500,237,2.273568868637085,9.684958312193192e-11,0.02,gradient,true,0.6,3,10,1000,0.5
500,268,2.596379041671753,9.969924655532531e-11,0.02,gradient,true,0.6,3,10,1000,0.7
500,473,4.334675073623657,9.696815237265612e-11,0.02,gradient,true,0.6,3,10,1000,0.9
500,663,6.054021120071411,9.688720302760962e-11,0.02,gradient,true,0.6,3,10,1000,0.95
500,2235,21.878519773483276,9.470289835899747e-11,0.02,gradient,true,0.6,3,10,1000,0.99
500,532,4.9800779819488525,9.59261853872948e-11,0.01,gradient,true,0.6,3,10,1000,0.5
500,542,5.056173086166382,9.299066337847961e-11,0.01,gradient,true,0.6,3,10,1000,0.7
500,1036,9.778499126434326,9.266486784870139e-11,0.01,gradient,true,0.6,3,10,1000,0.9
500,1597,15.428232908248901,9.888813521566145e-11,0.01,gradient,true,0.6,3,10,1000,0.95
500,5000,45.82604002952576,1.3726610113106623e-7,0.01,gradient,false,0.6,3,10,1000,0.99
500,8,0.04912519454956055,5.597203774130359e-11,0.5,newton,true,0.6,3,10,1000,0.5
500,15,0.30226588249206543,7.088380499974833e-11,0.5,newton,true,0.6,3,10,1000,0.7
500,11,0.09269309043884277,6.715158153275491e-11,0.5,newton,true,0.6,3,10,1000,0.9
500,9,0.0636138916015625,1.0298752719949412e-11,0.5,newton,true,0.6,3,10,1000,0.95
500,19,0.3261439800262451,8.43044220927919e-11,0.5,newton,true,0.6,3,10,1000,0.99
500,26,0.2107830047607422,5.973537956755922e-11,0.2,newton,true,0.6,3,10,1000,0.5
500,28,0.21782612800598145,7.37611371332131e-11,0.2,newton,true,0.6,3,10,1000,0.7
500,25,0.39960503578186035,4.806071654322872e-11,0.2,newton,true,0.6,3,10,1000,0.9
500,25,0.19802403450012207,5.2206452051814794e-11,0.2,newton,true,0.6,3,10,1000,0.95
500,48,0.5755829811096191,6.89750298676465e-11,0.2,newton,true,0.6,3,10,1000,0.99
500,53,0.4373819828033447,8.476035862700373e-11,0.1,newton,true,0.6,3,10,1000,0.5
500,61,0.7116198539733887,7.793223650666567e-11,0.1,newton,true,0.6,3,10,1000,0.7
500,57,0.4689640998840332,7.483567802709944e-11,0.1,newton,true,0.6,3,10,1000,0.9
500,56,0.6771841049194336,7.265403121614393e-11,0.1,newton,true,0.6,3,10,1000,0.95
500,77,0.6204898357391357,9.503447173622195e-11,0.1,newton,true,0.6,3,10,1000,0.99
500,114,1.2483229637145996,8.843018208107082e-11,0.05,newton,true,0.6,3,10,1000,0.5
500,127,1.1449849605560303,9.688470464133075e-11,0.05,newton,true,0.6,3,10,1000,0.7
500,115,1.1887140274047852,9.14680475830987e-11,0.05,newton,true,0.6,3,10,1000,0.9
500,101,0.9631369113922119,9.468125072033462e-11,0.05,newton,true,0.6,3,10,1000,0.95
500,130,1.3630671501159668,8.805485609038577e-11,0.05,newton,true,0.6,3,10,1000,0.99
500,221,1.9636261463165283,9.719209204500242e-11,0.02,newton,true,0.6,3,10,1000,0.5
500,237,2.3076910972595215,9.617778546319146e-11,0.02,newton,true,0.6,3,10,1000,0.7
500,213,2.0891239643096924,8.659715278047676e-11,0.02,newton,true,0.6,3,10,1000,0.9
500,201,1.742948055267334,9.46866828886081e-11,0.02,newton,true,0.6,3,10,1000,0.95
500,304,3.6736299991607666,9.922700024280836e-11,0.02,newton,true,0.6,3,10,1000,0.99
500,326,3.383759021759033,9.902569104881776e-11,0.01,newton,true,0.6,3,10,1000,0.5
500,329,3.5658528804779053,8.911240822336694e-11,0.01,newton,true,0.6,3,10,1000,0.7
500,313,3.053922176361084,9.017233537151169e-11,0.01,newton,true,0.6,3,10,1000,0.9
500,346,3.7985260486602783,7.847227493930177e-11,0.01,newton,true,0.6,3,10,1000,0.95
500,1503,32.62440299987793,9.33415388334218e-11,0.01,newton,true,0.6,3,10,1000,0.99
500,8,0.20972394943237305,5.597325835716328e-11,0.5,exact,true,0.6,3,10,1000,0.5
500,15,0.14095616340637207,7.0866404493034e-11,0.5,exact,true,0.6,3,10,1000,0.7
500,13,0.11363697052001953,3.577253312461002e-11,0.5,exact,true,0.6,3,10,1000,0.9
500,9,0.06364202499389648,1.0638640369445842e-11,0.5,exact,true,0.6,3,10,1000,0.95
500,18,0.2981889247894287,7.410280207358636e-11,0.5,exact,true,0.6,3,10,1000,0.99
500,26,0.2173919677734375,6.006792900049458e-11,0.2,exact,true,0.6,3,10,1000,0.5
