p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.005,2.0,exact,15,5.743406366201717e-5,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,16,3.48334487366351e-5,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,17,2.1316713948855673e-5,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,18,1.3155766087378032e-5,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,19,8.169562728860865e-6,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,20,5.101988283158565e-6,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,21,3.204531460690482e-6,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,22,2.023452847908183e-6,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,23,1.2780064167912368e-6,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,24,8.154075783596924e-7,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,25,5.246677606490291e-7,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,26,3.3954198653177696e-7,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,27,2.2058088096657314e-7,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,28,1.4376174402089039e-7,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,29,9.387683673479545e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,30,6.14079834596769e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,31,4.024592183540891e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,32,2.643686931730625e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,33,1.738737806933235e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,34,1.1450929801153343e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,35,7.536108379812467e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,36,4.9474400920846095e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,37,1.088198476535752e-8,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,38,7.50130899209296e-9,$\bar{p}_K = 0.005$,amp = 2.0
0.005,2.0,exact,39,5.17637154559689e-9,$\bar{p}_K = 0.005$,amp = 2.0
