primals,time,strategy,gaps,relgaps,dataset
-14412.025768571139,2.6243200302124023,unguarded_newton,2.985974970215466e-5,2.071863468858831e-9,congress109
-14412.025768571139,2.627668857574463,unguarded_newton,2.8979435228393413e-5,2.0107815302127748e-9,congress109
-14412.025768571139,2.631265878677368,unguarded_newton,2.8107153411838226e-5,1.95025694952146e-9,congress109
-14412.025768571137,2.6345598697662354,unguarded_newton,2.7243668228038587e-5,1.890342736372975e-9,congress109
-14412.025768571137,2.6381139755249023,unguarded_newton,2.6389714548713528e-5,1.8310898809425252e-9,congress109
-14412.025768571137,2.641422986984253,unguarded_newton,2.55459344771225e-5,1.7725429365267658e-9,congress109
-14412.025768571135,2.64554500579834,unguarded_newton,2.4712962840567343e-5,1.7147459515691307e-9,congress109
-14412.025768571137,2.649294853210449,unguarded_newton,2.389134533586912e-5,1.6577367900611101e-9,congress109
-14412.025768571142,2.6529128551483154,unguarded_newton,2.3081614926923066e-5,1.6015524325010596e-9,congress109
-14412.025768571139,2.656737804412842,unguarded_newton,2.2284239094005898e-5,1.5462253157083578e-9,congress109
-14412.025768571135,2.6602258682250977,unguarded_newton,2.149965257558506e-5,1.4917856046628913e-9,congress109
-14412.02576857114,2.66393780708313,unguarded_newton,2.0728224626509473e-5,1.4382589206655674e-9,congress109
-14412.025768571135,2.667444944381714,unguarded_newton,1.9970348148490302e-5,1.3856725257902617e-9,congress109
-14412.025768571133,2.6708149909973145,unguarded_newton,1.9226281438022852e-5,1.3340443423262781e-9,congress109
-14412.025768571137,2.674433946609497,unguarded_newton,1.8496322809369303e-5,1.2833950692556318e-9,congress109
-14412.02576857113,2.677747964859009,unguarded_newton,1.7780732378014363e-5,1.2337427550809341e-9,congress109
-14412.025768571135,2.6816158294677734,unguarded_newton,1.7079681128961965e-5,1.1850992638528505e-9,congress109
-14412.025768571133,2.6857059001922607,unguarded_newton,1.6393361875088885e-5,1.1374779741817094e-9,congress109
-14412.025768571131,2.6895029544830322,unguarded_newton,1.572192195453681e-5,1.0908891093452124e-9,congress109
-14412.02576857114,2.693110942840576,unguarded_newton,1.5134344721445814e-5,1.0501191827209928e-9,congress109
-14412.025768571133,2.697021961212158,unguarded_newton,1.4650802768301219e-5,1.016567899861156e-9,congress109
-14412.025768571133,2.7005958557128906,unguarded_newton,1.4173427189234644e-5,9.834444801051625e-10,congress109
-14412.025768571135,2.7048699855804443,unguarded_newton,1.3702538126381114e-5,9.507711369946875e-10,congress109
-14412.025768571135,2.7086598873138428,unguarded_newton,1.3238442988949828e-5,9.185692005782709e-10,congress109
-14412.025768571139,2.7121479511260986,unguarded_newton,1.2781412806361914e-5,8.868574766383526e-10,congress109
-14412.02576857113,2.7161128520965576,unguarded_newton,1.233168768521864e-5,8.556526253311894e-10,congress109
-14412.025768571139,2.720526933670044,unguarded_newton,1.1889493180206046e-5,8.249702971065957e-10,congress109
-14412.025768571133,2.7243759632110596,unguarded_newton,1.1455045751063153e-5,7.948255113478646e-10,congress109
-14412.025768571131,2.727963924407959,unguarded_newton,1.1028483640984632e-5,7.652278602661729e-10,congress109
-14412.025768571137,2.7314188480377197,unguarded_newton,1.0610025128698908e-5,7.361924894581163e-10,congress109
-14412.025768571133,2.7358498573303223,unguarded_newton,1.019975206872914e-5,7.077250785224196e-10,congress109
-14412.025768571135,2.7394628524780273,unguarded_newton,9.797829989111051e-6,6.79837112869834e-10,congress109
-14412.025768571137,2.742908000946045,unguarded_newton,9.404322554473765e-6,6.525330099660338e-10,congress109
-14412.025768571128,2.7463839054107666,unguarded_newton,9.019369827001356e-6,6.25822488235502e-10,congress109
-14412.02576857113,2.7504968643188477,unguarded_newton,8.642962711746804e-6,5.997049166117127e-10,congress109
-14412.025768571133,2.754117012023926,unguarded_newton,8.275212167063728e-6,5.741879941062696e-10,congress109
