n,Fstar,time,reg,strategy,gaps,primals,dual_relgaps,dual_cert,it,K,s,relgaps,p
500,444.82788634384883,0.03350496292114258,0.05,exact,77.04273057155524,521.8706169154041,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.17319671930819946,200
500,444.82788634384883,0.05857706069946289,0.05,exact,24.528747746047998,469.35663408989683,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.055142108889925684,200
500,444.82788634384883,0.08500289916992188,0.05,exact,9.835260559475955,454.6631469033248,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.02211026075796284,200
500,444.82788634384883,0.10717391967773438,0.05,exact,4.87302262053845,449.7009089643873,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.010954849662396475,200
500,444.82788634384883,0.12297892570495605,0.05,exact,2.739148299933049,447.5670346437819,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00615777109310028,200
500,444.82788634384883,0.14055395126342773,0.05,exact,1.7108789779102835,446.5387653217591,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00384615944825857,200
500,444.82788634384883,0.15803003311157227,0.05,exact,1.1586137961695613,445.9865001400184,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.002604633908392067,200
500,444.82788634384883,0.17195892333984375,0.05,exact,0.8263456807570719,445.6542320246059,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0018576750831630923,200
500,444.82788634384883,0.18406987190246582,0.05,exact,0.6010196685115261,445.42890601236036,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0013511285757092624,200
500,444.82788634384883,0.1954648494720459,0.05,exact,0.43622956838669324,445.2641159122355,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0009806704610454454,200
500,444.82788634384883,0.20684099197387695,0.05,exact,0.31638204832978545,445.1442683921786,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0007112459853410007,200
500,444.82788634384883,0.21813488006591797,0.05,exact,0.2248724152343584,445.0527587590832,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0005055267939306611,200
500,444.82788634384883,0.22979402542114258,0.05,exact,0.1602450477362254,444.98813139158506,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00036024056192456667,200
500,444.82788634384883,0.24164605140686035,0.05,exact,0.11738641921056114,444.9452727630594,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00026389177210851,200
500,444.82788634384883,0.25217390060424805,0.05,exact,0.08668401838389173,444.9145703622327,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00019487091759549802,200
500,444.82788634384883,0.2631409168243408,0.05,exact,0.06430711753205287,444.8921934613809,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.0001445662907076467,200
500,444.82788634384883,0.2750539779663086,0.05,exact,0.0483004747785003,444.87618681862733,Float64(91),9.196438882790405e-6,seed = 3,5,5,0.00010858238941693591,200
500,444.82788634384883,0.2855079174041748,0.05,exact,0.03742281319284757,444.8653091570417,Float64(91),9.196438882790405e-6,seed = 3,5,5,8.412874808824373e-5,200
500,444.82788634384883,0.2980520725250244,0.05,exact,0.029622260253518107,444.85750860410235,Float64(91),9.196438882790405e-6,seed = 3,5,5,6.659263315749119e-5,200
500,444.82788634384883,0.3085649013519287,0.05,exact,0.023898444804558494,444.8517847886534,Float64(91),9.196438882790405e-6,seed = 3,5,5,5.372514974496262e-5,200
500,444.82788634384883,0.3205418586730957,0.05,exact,0.019535067485321633,444.84742141133415,Float64(91),9.196438882790405e-6,seed = 3,5,5,4.3916013552759065e-5,200
500,444.82788634384883,0.3319089412689209,0.05,exact,0.01607942564521636,444.84396576949405,Float64(91),9.196438882790405e-6,seed = 3,5,5,3.61475216344397e-5,200
500,444.82788634384883,0.3420419692993164,0.05,exact,0.013274905087996558,444.8411612489368,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.9842789752023662e-5,200
500,444.82788634384883,0.3525400161743164,0.05,exact,0.010955310506972182,444.8388416543558,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.462820080147539e-5,200
500,444.82788634384883,0.3628509044647217,0.05,exact,0.009013841486307683,444.83690018533514,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.0263660986712615e-5,200
500,444.82788634384883,0.3735978603363037,0.05,exact,0.007373339169646442,444.8352596830185,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.6575712530636855e-5,200
500,444.82788634384883,0.3839569091796875,0.05,exact,0.005979813760973229,444.8338661576098,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.3442983105494594e-5,200
500,444.82788634384883,0.39417195320129395,0.05,exact,0.00478992043343851,444.83267626428227,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.0768030918223359e-5,200
500,444.82788634384883,0.40488505363464355,0.05,exact,0.003896861581324629,444.83178320543016,Float64(91),9.196438882790405e-6,seed = 3,5,5,8.760380589791491e-6,200
500,444.82788634384883,0.416701078414917,0.05,exact,0.0032173239357007333,444.83110366778453,Float64(91),9.196438882790405e-6,seed = 3,5,5,7.232738851299814e-6,200
500,444.82788634384883,0.42671799659729004,0.05,exact,0.002679389533795984,444.8305657333826,Float64(91),9.196438882790405e-6,seed = 3,5,5,6.023429771497812e-6,200
500,444.82788634384883,0.43767595291137695,0.05,exact,0.002244376062037645,444.83013071991087,Float64(91),9.196438882790405e-6,seed = 3,5,5,5.045493169245145e-6,200
500,444.82788634384883,0.4491310119628906,0.05,exact,0.0018888591334871307,444.8297752029823,Float64(91),9.196438882790405e-6,seed = 3,5,5,4.2462696055594315e-6,200
500,444.82788634384883,0.45914793014526367,0.05,exact,0.001594628353416283,444.82948097220225,Float64(91),9.196438882790405e-6,seed = 3,5,5,3.584821011386967e-6,200
500,444.82788634384883,0.46916699409484863,0.05,exact,0.0013497401073436777,444.8292360839562,Float64(91),9.196438882790405e-6,seed = 3,5,5,3.0342974188006237e-6,200
500,444.82788634384883,0.47893404960632324,0.05,exact,0.001144340759537954,444.82903068460837,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.572547258544368e-6,200
500,444.82788634384883,0.48847389221191406,0.05,exact,0.0009717476968944538,444.8288580915457,Float64(91),9.196438882790405e-6,seed = 3,5,5,2.1845476120696705e-6,200
500,444.82788634384883,0.4976658821105957,0.05,exact,0.0008260891809186433,444.82871243302975,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.8570984560084035e-6,200
500,444.82788634384883,0.5069699287414551,0.05,exact,0.0007028534078017401,444.82858919725663,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.5800569824402586e-6,200
500,444.82788634384883,0.5170269012451172,0.05,exact,0.0005983811925602822,444.8284847250414,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.3451971221465593e-6,200
500,444.82788634384883,0.526871919631958,0.05,exact,0.000509685152678685,444.8283960290015,Float64(91),9.196438882790405e-6,seed = 3,5,5,1.1458030584995787e-6,200
