Fstar,time,final_relgap,reg,primal_relgaps,amplitude,gaps,primals,dual_relgaps,it,pass,s,relgaps,p_K,passes,duals,strategy,dual_bound,reached_tol,dual_cert,K,p,n
146.3007024228878,0.9906439781188965,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.2482846746000575,148.5489870836259,Float64(1000),1,72,5,0.015367558988891961,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,0.9985671043395996,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.2136866173161422,148.51438902634197,Float64(1000),1,73,5,0.0151310730615455,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.005687952041626,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.1797989727243987,148.48050138175023,Float64(1000),1,74,5,0.014899442973442506,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0130009651184082,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.1465960556120933,148.44729846463792,Float64(1000),1,75,5,0.01467249316006204,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.020076036453247,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.1140675977066508,148.41477000673248,Float64(1000),1,76,5,0.01445015343532567,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0272610187530518,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.0821777844743963,148.38288019350023,Float64(1000),1,77,5,0.014232178998401398,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0353789329528809,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.050913542653092,148.35161595167892,Float64(1000),1,78,5,0.014018480490441168,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.042734146118164,2.2624498686733736e-6,0.05,Float64(1000),0.5,2.0202461673938217,148.32094857641965,Float64(1000),1,79,5,0.01380886170699456,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0498440265655518,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.9901639673368834,148.29086637636271,Float64(1000),1,80,5,0.0136032427348451,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.0609400272369385,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.9606409097759467,148.26134331880178,Float64(1000),1,81,5,0.0134014456342707,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
146.3007024228878,1.071484088897705,2.2624498686733736e-6,0.05,Float64(1000),0.5,1.9316662206522892,148.23236862967812,Float64(1000),1,82,5,0.013203396762024653,0.05,1000,Float64(1000),gradient,146.30070240902583,false,9.474990893669951e-11,5,200,500
