n,p_K,Fstar,passes,time,final_relgap,reg,strategy,amplitude,gaps,primals,reached_tol,dual_relgaps,dual_cert,it,pass,K,s,relgaps,p
500,0.05,146.30070252466783,1000,0.5900380611419678,2.2616595911789793e-6,0.05,gradient,0.5,2.3197287342093205,148.62043125887715,false,Float64(1000),5.0413609193264335e-5,1,70,5,5,0.015855896070069726,200
500,0.05,146.30070252466783,1000,0.5962929725646973,2.2616595911789793e-6,0.05,gradient,0.5,2.2836233148727274,148.58432583954055,false,Float64(1000),5.0413609193264335e-5,1,71,5,5,0.015609106965755579,200
500,0.05,146.30070252466783,1000,0.6026608943939209,2.2616595911789793e-6,0.05,gradient,0.5,2.2482845589118483,148.54898708357968,false,Float64(1000),5.0413609193264335e-5,1,72,5,5,0.015367558187444548,200
500,0.05,146.30070252466783,1000,0.6091010570526123,2.2616595911789793e-6,0.05,gradient,0.5,2.2136865016223055,148.51438902629013,false,Float64(1000),5.0413609193264335e-5,1,73,5,5,0.015131072260224143,200
500,0.05,146.30070252466783,1000,0.6153419017791748,2.2616595911789793e-6,0.05,gradient,0.5,2.1797988570173175,148.48050138168514,false,Float64(1000),5.0413609193264335e-5,1,74,5,5,0.014899442172191761,200
500,0.05,146.30070252466783,1000,0.6227340698242188,2.2616595911789793e-6,0.05,gradient,0.5,2.146595939896798,148.44729846456462,false,Float64(1000),5.0413609193264335e-5,1,75,5,5,0.014672492358913039,200
500,0.05,146.30070252466783,1000,0.6290769577026367,2.2616595911789793e-6,0.05,gradient,0.5,2.114067481985643,148.41477000665347,false,Float64(1000),5.0413609193264335e-5,1,76,5,5,0.0144501526342923,200
500,0.05,146.30070252466783,1000,0.6354219913482666,2.2616595911789793e-6,0.05,gradient,0.5,2.0821776687503757,148.3828801934182,false,Float64(1000),5.0413609193264335e-5,1,77,5,5,0.014232178197499078,200
500,0.05,146.30070252466783,1000,0.6419808864593506,2.2616595911789793e-6,0.05,gradient,0.5,2.050913426928304,148.35161595159613,false,Float64(1000),5.0413609193264335e-5,1,78,5,5,0.014018479689682272,200
500,0.05,146.30070252466783,1000,0.6483490467071533,2.2616595911789793e-6,0.05,gradient,0.5,2.0202460516696306,148.32094857633746,false,Float64(1000),5.0413609193264335e-5,1,79,5,5,0.013808860906385572,200
500,0.05,146.30070252466783,1000,0.6549038887023926,2.2616595911789793e-6,0.05,gradient,0.5,1.9901638516129765,148.2908663762808,false,Float64(1000),5.0413609193264335e-5,1,80,5,5,0.013603241934381102,200
500,0.05,146.30070252466783,1000,0.6611320972442627,2.2616595911789793e-6,0.05,gradient,0.5,1.9606407940506756,148.2613433187185,false,Float64(1000),5.0413609193264335e-5,1,81,5,5,0.013401444833937766,200
500,0.05,146.30070252466783,1000,0.6672379970550537,2.2616595911789793e-6,0.05,gradient,0.5,1.9316661049148252,148.23236862958265,false,Float64(1000),5.0413609193264335e-5,1,82,5,5,0.013203395961746158,200
500,0.05,146.30070252466783,1000,0.6739909648895264,2.2616595911789793e-6,0.05,gradient,0.5,1.9032205146491208,148.20392303931695,false,Float64(1000),5.0413609193264335e-5,1,83,5,5,0.013008963605818762,200
500,0.05,146.30070252466783,1000,0.6802730560302734,2.2616595911789793e-6,0.05,gradient,0.5,1.8752913921615004,148.17599391682933,false,Float64(1000),5.0413609193264335e-5,1,84,5,5,0.012818061429645608,200
500,0.05,146.30070252466783,1000,0.6868150234222412,2.2616595911789793e-6,0.05,gradient,0.5,1.8478631958457186,148.14856572051355,false,Float64(1000),5.0413609193264335e-5,1,85,5,5,0.012630583202661994,200
500,0.05,146.30070252466783,1000,0.6935720443725586,2.2616595911789793e-6,0.05,gradient,0.5,1.8209422570799916,148.12164478174782,false,Float64(1000),5.0413609193264335e-5,1,86,5,5,0.012446572201339646,200
500,0.05,146.30070252466783,1000,0.6997919082641602,2.2616595911789793e-6,0.05,gradient,0.5,1.7944950208636214,148.09519754553145,false,Float64(1000),5.0413609193264335e-5,1,87,5,5,0.01226579906929053,200
500,0.05,146.30070252466783,1000,0.7061450481414795,2.2616595911789793e-6,0.05,gradient,0.5,1.768512456314653,148.06921498098248,false,Float64(1000),5.0413609193264335e-5,1,88,5,5,0.012088202078294624,200
500,0.05,146.30070252466783,1000,0.7121129035949707,2.2616595911789793e-6,0.05,gradient,0.5,1.7429816782097305,148.04368420287756,false,Float64(1000),5.0413609193264335e-5,1,89,5,5,0.011913693154794288,200
