p_K,amplitude,strategy,pass,relgaps,p_K_str,amp_str
0.005,2.0,exact,943,0.5717958632513246,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,944,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,945,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,946,0.5717958632513241,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,947,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,948,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,949,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,950,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,951,0.5717958632513244,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,952,0.5717958632513241,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,953,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,954,0.5717958632513238,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,955,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,956,0.5717958632513238,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,957,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,958,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,959,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,960,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,961,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,962,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,963,0.5717958632513229,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,964,0.5717958632513224,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,965,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,966,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,967,0.5717958632513224,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,968,0.5717958632513226,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,969,0.5717958632513226,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,970,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,971,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,972,0.5717958632513226,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,973,0.5717958632513229,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,974,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,975,0.5717958632513229,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,976,0.5717958632513227,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,977,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,978,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,979,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,980,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,981,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,982,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,983,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,984,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,985,0.5717958632513238,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,986,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,987,0.5717958632513238,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,988,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,989,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,990,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,991,0.5717958632513236,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,992,0.5717958632513239,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,993,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,994,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,995,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,996,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,997,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,998,0.5717958632513231,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,999,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
0.005,2.0,exact,1000,0.5717958632513234,$\pi_K = 0.005$,amp = 2.0
