commit,cell_id,cell_name,mu0,reg,seed,n,p,lambda_,n_iter,stop_crit,primal,runtime,converged,intercept,strategy
b03644fe,56,cell_056,0.99,0.2,2,500,1000,0.012471014989937822,1911,9.977477207587237e-9,0.2290950017614724,11.857353219000288,true,3.0548383981106655,gradient
b03644fe,57,cell_057,0.99,0.1,2,500,1000,0.006235507494968911,4059,9.978359051997232e-9,0.15341868128472644,23.713439663000827,true,3.8794378080134173,gradient
b03644fe,58,cell_058,0.99,0.05,2,500,1000,0.0031177537474844554,818,9.994435231495957e-9,0.09601041885886961,8.807024534999073,true,4.777280402490595,gradient
b03644fe,59,cell_059,0.99,0.02,2,500,1000,0.0012471014989937823,5000,1.3141876749580422e-8,0.04854700640564375,38.93073774500044,false,5.972353904912952,gradient
b03644fe,60,cell_060,0.99,0.01,2,500,1000,0.0006235507494968912,5000,4.2895898224126847e-8,0.028096801155868205,45.776521428000706,false,6.866634961320304,gradient
b03644fe,61,cell_061,0.5,0.5,3,500,1000,0.07933977874552962,162,9.718738367581192e-9,0.6616704410372799,0.7692067179996229,true,0.008362662750771886,gradient
b03644fe,62,cell_062,0.5,0.2,3,500,1000,0.03173591149821185,214,9.733957477608968e-9,0.5298406427409406,1.1195095799994306,true,0.009817735504722879,gradient
b03644fe,63,cell_063,0.5,0.1,3,500,1000,0.015867955749105926,273,9.778062356025075e-9,0.41027655518764156,1.83330303799994,true,0.009066875108663181,gradient
b03644fe,64,cell_064,0.5,0.05,3,500,1000,0.007933977874552963,595,9.893438039282331e-9,0.2877521064955122,4.70627267800046,true,0.017507449344444176,gradient
b03644fe,65,cell_065,0.5,0.02,3,500,1000,0.003173591149821185,1954,9.978782278850101e-9,0.15962238964060313,15.343373283998517,true,0.030871825864269783,gradient
b03644fe,66,cell_066,0.5,0.01,3,500,1000,0.0015867955749105924,18,3.5394336438711314e-9,0.09651186054129673,3.456898717000513,true,0.04669123516406117,gradient
b03644fe,67,cell_067,0.7,0.5,3,500,1000,0.06956918221601245,198,9.584013180491403e-9,0.6261924832497463,0.9165102550014126,true,0.4967146603114317,gradient
b03644fe,68,cell_068,0.7,0.2,3,500,1000,0.027827672886404982,371,9.90549100338134e-9,0.49060907155607325,1.9220761270007642,true,0.6656707295246753,gradient
b03644fe,69,cell_069,0.7,0.1,3,500,1000,0.013913836443202491,556,9.866026065410982e-9,0.37005426075719694,3.607396757999595,true,0.8564513145496508,gradient
b03644fe,70,cell_070,0.7,0.05,3,500,1000,0.0069569182216012455,1101,9.920133573346896e-9,0.2536558256457638,8.02183003600112,true,1.1104992435469956,gradient
b03644fe,71,cell_071,0.7,0.02,3,500,1000,0.002782767288640498,3144,9.965298193163539e-9,0.13816096121889382,24.515059121999002,true,1.5139933987393936,gradient
b03644fe,72,cell_072,0.7,0.01,3,500,1000,0.001391383644320249,5000,2.3326877619872293e-7,0.08286607748301142,23.835289623999415,false,1.8346709481427226,gradient
b03644fe,73,cell_073,0.9,0.5,3,500,1000,0.06569633693720206,279,9.894798518886306e-9,0.5598169316387693,1.2500851029999467,true,1.0372555676340585,gradient
b03644fe,74,cell_074,0.9,0.2,3,500,1000,0.026278534774880825,457,9.821297769205262e-9,0.4497295221111571,1.841853441999774,true,1.34011880025027,gradient
