problem,type,thresh,npasses,primal,final_lambda,runtime,jerr,subopt,mode
w1a,Newton,3.16227766016838e-5,225,0.063382247453228,0.00239220465394627,0.0439999999999996,0,1.5408539674049981e-6,Newton
w1a,Newton,1.0e-5,259,0.0633814496022357,0.00239220465394627,0.0419999999999998,0,7.430029751037681e-7,Newton
w1a,Newton,3.16227766016838e-6,286,0.0633810623434771,0.00239220465394627,0.0510000000000002,0,3.557442165014191e-7,Newton
w1a,Newton,1.0e-6,364,0.0633808469316552,0.00239220465394627,0.0510000000000002,0,1.403323946075341e-7,Newton
w1a,Newton,3.16227766016838e-7,453,0.0633807959561331,0.00239220465394627,0.0520000000000005,0,8.935687251243607e-8,Newton
w1a,Newton,1.0e-7,606,0.0633807199591769,0.00239220465394627,0.0709999999999997,0,1.335991631212785e-8,Newton
w1a,Newton,3.16227766016838e-8,735,0.0633807095055997,0.00239220465394627,0.085,0,2.9063390999395367e-9,Newton
w1a,Newton,1.0e-8,886,0.0633807074109869,0.00239220465394627,0.0899999999999999,0,8.117263111673267e-10,Newton
w1a,Newton,3.16227766016838e-9,1045,0.0633807068279254,0.00239220465394627,0.104,0,2.2866480930971989e-10,Newton
w1a,Newton,1.0e-9,1218,0.0633807066986401,0.00239220465394627,0.113,0,9.93795046255741e-11,Newton
w1a,Newton,3.16227766016838e-10,1421,0.0633807066450114,0.00239220465394627,0.127,0,4.5750805921507265e-11,Newton
w1a,Newton,1.0e-10,1622,0.0633807066255314,0.00239220465394627,0.138,0,2.6270804975858653e-11,Newton
w1a,Newton,3.16227766016838e-11,1840,0.0633807066069146,0.00239220465394627,0.154,0,7.6540024318561e-12,Newton
w1a,Newton,1.0e-11,2091,0.0633807066019185,0.00239220465394627,0.173999999999999,0,2.6579016765282404e-12,Newton
w1a,Newton,3.16227766016838e-12,2354,0.0633807066002595,0.00239220465394627,0.194,0,9.989092886186768e-13,Newton
w1a,Newton,1.0e-12,2692,0.0633807065995394,0.00239220465394627,0.23,0,2.7880475705899244e-13,Newton
w1a,Newton,3.16227766016838e-13,3016,0.0633807065992921,0.00239220465394627,0.235,0,3.1502578323738817e-14,Newton
w1a,Newton,1.0e-13,3302,0.0633807065992606,0.00239220465394627,0.246,0,1.0e-15,Newton
w1a,modified.Newton,0.1,50,0.0650572907905659,0.00239220465394627,0.0279999999999996,0,0.0016765841913052998,modified.Newton
w1a,modified.Newton,0.0316227766016838,50,0.0650572907905659,0.00239220465394627,0.0249999999999995,0,0.0016765841913052998,modified.Newton
