primals,time,reg,strategy,gaps,dataset,relgaps
157.9942090732605,1.3462889194488525,0.05,gradient,8.623871736296223,w1a,0.05458346724782433
157.93672252027505,1.3603379726409912,0.05,gradient,8.21442933400806,w1a,0.05201088893657101
157.8829170679749,1.3736281394958496,0.05,gradient,7.826892296719137,w1a,0.04957402892011013
157.83252347651666,1.3866870403289795,0.05,gradient,7.457653627936281,w1a,0.04725042382691093
157.7852953071899,1.399954080581665,0.05,gradient,7.107701487314898,w1a,0.045046665935992436
157.74100668613903,1.4133069515228271,0.05,gradient,6.77615398117743,w1a,0.04295746631476812
157.69945032034767,1.4268789291381836,0.05,gradient,6.462776227023397,w1a,0.04098160275064394
157.66043573303048,1.6374211311340332,0.05,gradient,6.166590659261487,w1a,0.039113114400517686
157.62378769073248,1.6587250232696533,0.05,gradient,5.886225434304322,w1a,0.03734350963481132
157.58934479855054,1.686156988143921,0.05,gradient,5.618951262196845,w1a,0.035655654697845575
157.55695824323126,1.7060720920562744,0.05,gradient,5.3649324916819126,w1a,0.03405074933853258
157.52649066663395,1.7274119853973389,0.05,gradient,5.124733757461911,w1a,0.03253252031308911
157.49781515435234,1.7460110187530518,0.05,gradient,4.896742392524402,w1a,0.031090859182557263
157.47081432623992,1.7652270793914795,0.05,gradient,4.679908612213239,w1a,0.029719212618775477
157.44537951726426,1.7803459167480469,0.05,gradient,4.472037351824042,w1a,0.02840373827123757
157.42141003856946,1.7994930744171143,0.05,gradient,4.272713987610814,w1a,0.02714188614219607
157.39881250988208,1.8191161155700684,0.05,gradient,4.083261390007863,w1a,0.02594213593416723
157.37750025548732,1.8352339267730713,0.05,gradient,3.902251180965834,w1a,0.024795483310072294
157.357392756945,1.8526320457458496,0.05,gradient,3.7301843848325404,w1a,0.02370517405937325
157.33841515653685,1.8672170639038086,0.05,gradient,3.5653106879991867,w1a,0.02266014110064627
157.3204971947157,1.8810360431671143,0.05,gradient,3.4082656310504262,w1a,0.02166447279169232
157.30357498794277,1.8947770595550537,0.05,gradient,3.2585664786017503,w1a,0.02071514572285797
157.28758783819828,1.9085760116577148,0.05,gradient,3.1158360348541407,w1a,0.01980980239877161
157.27247876428137,1.9221489429473877,0.05,gradient,2.978876051881599,w1a,0.01894086031635778
157.25819334754854,1.9359450340270996,0.05,gradient,2.8469093523712274,w1a,0.01810340874309432
157.2446826383411,1.9499759674072266,0.05,gradient,2.721040982532571,w1a,0.017304502364578513
157.23190166968294,1.9653689861297607,0.05,gradient,2.600658954838366,w1a,0.01654027539717672
157.21980832993697,1.9787659645080566,0.05,gradient,2.4857723822109676,w1a,0.015810809137957967
157.20836297774142,1.9918320178985596,0.05,gradient,2.375764036487425,w1a,0.015112198813645818
157.19752830633317,2.0051839351654053,0.05,gradient,2.27112926325961,w1a,0.014447614334201402
157.1872692536285,2.018446922302246,0.05,gradient,2.1715626287057432,w1a,0.013815130442923037
157.17755290758777,2.0322580337524414,0.05,gradient,2.0763453165380383,w1a,0.013210189865717158
