primals,time,randomize,reg,strategy,gaps,ordering,dataset,relgaps
157.11604189523953,2.007254123687744,false,0.05,gradient,1.4525491169250415,cyclic,w1a,0.009245071982487692
157.1100290457058,2.0204410552978516,false,0.05,gradient,1.389106666003272,cyclic,w1a,0.008841616760182502
157.10432743477378,2.0339131355285645,false,0.05,gradient,1.3326473189593173,cyclic,w1a,0.008482562770351459
156.99401026309124,1.9675219058990479,true,0.05,exact,0.009330019883208251,permuted,w1a,5.942914552964768e-5
156.99401025820185,1.9954500198364258,true,0.05,exact,0.007168453217673232,permuted,w1a,4.566067970289796e-5
156.9940102546858,2.0143959522247314,true,0.05,exact,0.005891144965488593,permuted,w1a,3.752464795269321e-5
156.99401025217182,2.0330679416656494,true,0.05,exact,0.003995969812137901,permuted,w1a,2.545300808431716e-5
156.99401025087826,2.0506350994110107,true,0.05,exact,0.0013629046632672726,permuted,w1a,8.681252622882459e-6
156.9940102496046,2.0697290897369385,true,0.05,exact,0.00045363857293523324,permuted,w1a,2.8895279011854895e-6
156.99401024886183,2.087908983230591,true,0.05,exact,0.00282995978855638,permuted,w1a,1.802590929469487e-5
156.99401024817178,2.104288101196289,true,0.05,exact,0.0025392805187891554,permuted,w1a,1.6174378339499267e-5
156.99401024770637,2.120090961456299,true,0.05,exact,0.0017955669220839354,permuted,w1a,1.1437168330504304e-5
156.9940102473988,2.136518955230713,true,0.05,exact,0.0007697989109658465,permuted,w1a,4.903364846548986e-6
156.9940102471627,2.1521220207214355,true,0.05,exact,0.0016141223690055995,permuted,w1a,1.028142644719002e-5
156.99401024700498,2.1663150787353516,true,0.05,exact,0.00019114297998612528,permuted,w1a,1.217517659975641e-6
156.9940102468732,2.185338020324707,true,0.05,exact,0.0011774216867763698,permuted,w1a,7.499787316247756e-6
156.9940102467503,2.200793981552124,true,0.05,exact,0.0009497503944544405,permuted,w1a,6.049596369706722e-6
156.99401024665696,2.218219041824341,true,0.05,exact,0.000581258077545499,permuted,w1a,3.7024220008920774e-6
156.99401024658286,2.2350270748138428,true,0.05,exact,0.00027508946362786446,permuted,w1a,1.7522290385206087e-6
156.99401024653025,2.249066114425659,true,0.05,exact,0.0005061062042273079,permuted,w1a,3.223729385806255e-6
156.9940102464871,2.262906074523926,true,0.05,exact,0.00025041867587560773,permuted,w1a,1.595084267752891e-6
156.99401024645988,2.277329921722412,true,0.05,exact,0.0004319106710397591,permuted,w1a,2.7511283415317334e-6
156.9940102464395,2.2920079231262207,true,0.05,exact,0.0003511810543272986,permuted,w1a,2.2369073430001328e-6
156.99401024641514,2.3062679767608643,true,0.05,exact,4.0650026505772985e-5,permuted,w1a,2.5892724468894956e-7
156.9940102463995,2.32047700881958,true,0.05,exact,0.00028173667908504285,permuted,w1a,1.794569605826756e-6
156.99401024638644,2.335114002227783,true,0.05,exact,0.0002129459839466108,permuted,w1a,1.356395595044762e-6
156.99401024637604,2.3498101234436035,true,0.05,exact,2.8490494855759607e-5,permuted,w1a,1.8147504360866064e-7
156.99401024636958,2.3641469478607178,true,0.05,exact,0.00015686847896745348,permuted,w1a,9.992004072084082e-7
156.99401024636404,2.378706932067871,true,0.05,exact,3.066055631961717e-5,permuted,w1a,1.952976184983291e-7
156.99401024635878,2.3931329250335693,true,0.05,exact,0.00011547810115075663,permuted,w1a,7.35557369160426e-7
156.9940102463547,2.4073619842529297,true,0.05,exact,3.958082115218531e-5,permuted,w1a,2.5211675967812505e-7
156.9940102463519,2.4220080375671387,true,0.05,exact,0.00010238832857112357,permuted,w1a,6.521798405586163e-7
156.99401024634935,2.438025951385498,true,0.05,exact,9.507374178951977e-5,permuted,w1a,6.055883383087895e-7
156.99401024634778,2.4531900882720947,true,0.05,exact,1.2923566515610219e-5,permuted,w1a,8.231885086145103e-8
156.99401024634628,2.4675660133361816,true,0.05,exact,8.431771155414935e-5,permuted,w1a,5.370759777512702e-7
156.99401024634483,2.482213020324707,true,0.05,exact,1.986321780123035e-5,permuted,w1a,1.265221378195402e-7
156.99401024634386,2.496825933456421,true,0.05,exact,7.062841297056366e-5,permuted,w1a,4.49879666490069e-7
156.99401024634307,2.5107691287994385,true,0.05,exact,3.56475775618037e-5,permuted,w1a,2.2706329691093458e-7
156.99401024634227,2.6881179809570312,true,0.05,exact,1.174739884390874e-5,permuted,w1a,7.482705120708538e-8
156.99401024634176,2.7144930362701416,true,0.05,exact,5.293353746083085e-5,permuted,w1a,3.371691529999903e-7
156.99401024634128,2.7358689308166504,true,0.05,exact,2.2970721602177946e-5,permuted,w1a,1.463159108180898e-7
156.99401024634096,2.7636170387268066,true,0.05,exact,4.582767317629077e-5,permuted,w1a,2.9190714412850584e-7
156.9940102463405,2.7810280323028564,true,0.05,exact,3.0534548216110124e-5,permuted,w1a,1.9449498849158722e-7
156.99401024634022,2.8024821281433105,true,0.05,exact,3.682357453271834e-5,permuted,w1a,2.3455400925766692e-7
156.9940102463399,2.8178789615631104,true,0.05,exact,1.1333177212691226e-5,permuted,w1a,7.218859620764061e-8
156.99401024633977,2.8359289169311523,true,0.05,exact,3.1525892467243466e-5,permuted,w1a,2.0080952399251472e-7
156.99401024633954,2.854727029800415,true,0.05,exact,1.8911436370672163e-5,permuted,w1a,1.2045960442056483e-7
156.99401024633943,2.871691942214966,true,0.05,exact,2.0925262305127035e-5,permuted,w1a,1.3328701058271706e-7
156.99401024633931,2.88926100730896,true,0.05,exact,6.404149530681025e-6,permuted,w1a,4.07923176217505e-8
156.9940102463392,2.905426025390625,true,0.05,exact,2.080588808439643e-5,permuted,w1a,1.3252663621847688e-7
156.99401024633906,2.9209980964660645,true,0.05,exact,2.6880602774781437e-6,permuted,w1a,1.712205626991955e-8
156.99401024633903,2.9363489151000977,true,0.05,exact,1.436004396282442e-5,permuted,w1a,9.146873782185767e-8
156.99401024633906,2.951138973236084,true,0.05,exact,1.4509751366631463e-5,permuted,w1a,9.242232454514814e-8
156.99401024633895,2.9656949043273926,true,0.05,exact,3.017533657612148e-6,permuted,w1a,1.9220692896992332e-8
156.99401024633895,2.980325937271118,true,0.05,exact,2.9962824328322313e-6,permuted,w1a,1.908532961309015e-8
156.99401024633895,2.994837999343872,true,0.05,exact,1.513796803465084e-6,permuted,w1a,9.642385725989092e-9
156.9940102463389,3.0094339847564697,true,0.05,exact,1.123954734794097e-5,permuted,w1a,7.15922048892504e-8
156.99401024633883,3.0236189365386963,true,0.05,exact,7.123180409962515e-6,permuted,w1a,4.53723068719982e-8
156.99401024633877,3.038201093673706,true,0.05,exact,1.5906842918411712e-6,permuted,w1a,1.0132133635832563e-8
156.99401024633877,3.0529239177703857,true,0.05,exact,8.551056140504443e-6,permuted,w1a,5.4467403737805084e-8
156.99401024633875,3.067439079284668,true,0.05,exact,9.248511219084321e-7,permuted,w1a,5.890996226271636e-9
156.9940102463388,3.0821011066436768,true,0.05,exact,1.075519236337641e-6,permuted,w1a,6.850702358962913e-9
156.99401024633875,3.0966780185699463,true,0.05,exact,6.217245584139164e-6,permuted,w1a,3.960180120492308e-8
156.99401024633872,3.1110548973083496,true,0.05,exact,4.064328720687627e-6,permuted,w1a,2.5888431758067097e-8
156.99401024633866,3.125562906265259,true,0.05,exact,5.674802139310486e-7,permuted,w1a,3.6146615596392354e-9
156.99401024633866,3.1395668983459473,true,0.05,exact,5.0773819282312616e-6,permuted,w1a,3.234124614222136e-8
156.99401024633863,3.1536741256713867,true,0.05,exact,3.466943979901771e-6,permuted,w1a,2.208328823795127e-8
156.9940102463385,3.167565107345581,true,0.05,exact,8.046457651289529e-7,permuted,w1a,5.125327799872029e-9
156.99401024633846,3.181617021560669,true,0.05,exact,7.084028084136662e-7,permuted,w1a,4.512291948604377e-9
156.99401024633843,3.1956450939178467,true,0.05,exact,3.571389299850125e-7,permuted,w1a,2.2748570434287767e-9
156.9940102463384,3.2095959186553955,true,0.05,exact,1.092623421072858e-6,permuted,w1a,6.9596503672874455e-9
156.99401024633843,3.2235379219055176,true,0.05,exact,2.3671360054322577e-6,permuted,w1a,1.5077874638134268e-8
156.99401024633855,3.237504005432129,true,0.05,exact,2.2709589870828495e-6,permuted,w1a,1.4465258792481946e-8
156.9940102463385,3.2514960765838623,true,0.05,exact,4.3382149783610657e-7,permuted,w1a,2.76329967720042e-9
156.99401024633852,3.2654929161071777,true,0.05,exact,1.6876475399385527e-6,permuted,w1a,1.0749757505337136e-8
156.99401024633852,3.438616991043091,true,0.05,exact,1.5844626943817275e-6,permuted,w1a,1.0092504114619118e-8
156.99401024633852,3.4627130031585693,true,0.05,exact,2.2957453893468482e-7,permuted,w1a,1.4623139989510464e-9
156.99401024633846,3.487848997116089,true,0.05,exact,7.05483387264394e-7,permuted,w1a,4.493696199985106e-9
156.9940102463384,3.5103039741516113,true,0.05,exact,4.592135098846484e-7,permuted,w1a,2.925038408561569e-9
156.9940102463385,3.5287609100341797,true,0.05,exact,6.622579178383603e-7,permuted,w1a,4.218364234401139e-9
156.99401024633852,3.5478289127349854,true,0.05,exact,8.571923331146536e-7,permuted,w1a,5.46003208510718e-9
156.99401024633852,3.563807964324951,true,0.05,exact,9.989411182687036e-7,permuted,w1a,6.362925035810411e-9
