passes,init_partial0F,init_relgap,final_relgap,nnz_solution,randomize,strategy,times,dataset,warm_start,reg_grid,lambdamax,start_kind,ordering
9,0.009001312168258835,0.09156778015603252,2.1663726596261124e-9,4,true,newton,0.2642710208892822,w1a,true,0.756646727558943,16.06419055308849,warm,permuted
40,1.1368683772161603e-13,0.07638264014097587,8.024176190031747e-9,16,true,newton,0.622373104095459,w1a,true,0.5725142703256574,16.06419055308849,warm,permuted
54,6.465938895416912e-13,0.06934508824150716,6.47219692035847e-9,17,true,newton,0.7722611427307129,w1a,true,0.43319104912270473,16.06419055308849,warm,permuted
68,2.5934809855243657e-13,0.06430110288300028,4.257662461078603e-9,25,true,newton,1.2831990718841553,w1a,true,0.32777258972651985,16.06419055308849,warm,permuted
90,2.1316282072803006e-14,0.06101501343698676,7.847599913575215e-9,46,true,newton,1.4447898864746094,w1a,true,0.2480080574000913,16.06419055308849,warm,permuted
104,2.021138811869605e-7,0.06323957723984733,5.192922446012672e-9,46,true,newton,1.7794568538665771,w1a,true,0.18765448504002957,16.06419055308849,warm,permuted
84,2.0961010704922955e-13,0.06691330505313307,5.7391790714301306e-9,76,true,newton,1.6001780033111572,w1a,true,0.14198815201729703,16.06419055308849,warm,permuted
91,9.166001291305292e-13,0.067901260098382,9.074362797231002e-9,82,true,newton,1.6888890266418457,w1a,true,0.10743487057602952,16.06419055308849,warm,permuted
109,9.023892744153272e-13,0.06585613997603627,2.4803931093297554e-9,94,true,newton,1.9703738689422607,w1a,true,0.08129024324707132,16.06419055308849,warm,permuted
96,6.394884621840902e-14,0.06370376353599795,6.066311943745378e-9,111,true,newton,1.8615880012512207,w1a,true,0.06150799653536698,16.06419055308849,warm,permuted
137,1.3447021274259896e-12,0.061234018461382725,4.293685962145514e-9,122,true,newton,2.6743059158325195,w1a,true,0.04653982429719224,16.06419055308849,warm,permuted
158,2.5934809855243657e-13,0.060565681559724104,7.812787583775432e-9,129,true,newton,3.1702518463134766,w1a,true,0.03521420575563868,16.06419055308849,warm,permuted
111,2.149391775674303e-13,0.06095079773437772,7.553449255834915e-9,132,true,newton,2.1814630031585693,w1a,true,0.026644713548591308,16.06419055308849,warm,permuted
147,1.7763568394002505e-15,0.06219824600556025,5.448929138316117e-9,138,true,newton,3.08516001701355,w1a,true,0.02016063531328705,16.06419055308849,warm,permuted
166,2.788880237858393e-13,0.06317304957213525,6.12850135225369e-9,150,true,newton,3.502279043197632,w1a,true,0.015254478735307905,16.06419055308849,warm,permuted
190,1.234568003383174e-13,0.06340938029211411,9.040261393998256e-9,161,true,newton,4.0445709228515625,w1a,true,0.011542251415688211,16.06419055308849,warm,permuted
251,1.5631940186722204e-13,0.06406129577312838,9.680639243222404e-9,170,true,newton,5.432244062423706,w1a,true,0.008733406762343065,16.06419055308849,warm,permuted
