p,n,time,reg,strategy,gaps,primals,it,s,relgaps,μ0
1000,500,0.04852008819580078,0.1,exact,107.479815389117,-143201.24237767278,5,10,0.0007505508583902811,$\mu_0 = 100$
1000,500,0.05381298065185547,0.1,exact,13.306255074974615,-143202.97643067662,5,10,9.291884433293231e-5,$\mu_0 = 100$
1000,500,0.05800986289978027,0.1,exact,4.880005712824641,-143202.99360294637,5,10,3.4077539791907223e-5,$\mu_0 = 100$
1000,500,0.061569929122924805,0.1,exact,1.334676435624715,-143202.99561958702,5,10,9.320171200679552e-6,$\mu_0 = 100$
1000,500,0.06494307518005371,0.1,exact,0.35951257796841674,-143202.99582731677,5,10,2.5105101739766657e-6,$\mu_0 = 100$
1000,500,0.06849503517150879,0.1,exact,0.1254216109518893,-143202.99586110524,5,10,8.758309153918654e-7,$\mu_0 = 100$
1000,500,0.07238006591796875,0.1,exact,0.04924733575899154,-143202.99586751935,5,10,3.4389878131147114e-7,$\mu_0 = 100$
1000,500,0.07572007179260254,0.1,exact,0.023451553541235626,-143202.99586875923,5,10,1.637644058978221e-7,$\mu_0 = 100$
1000,500,0.07930803298950195,0.1,exact,0.012001950817648321,-143202.99586899855,5,10,8.381075231573822e-8,$\mu_0 = 100$
1000,500,0.08335590362548828,0.1,exact,0.006149443710455671,-143202.9958690451,5,10,4.294214428362348e-8,$\mu_0 = 100$
1000,500,0.08676886558532715,0.1,exact,0.003111789672402665,-143202.99586905426,5,10,2.172992019837424e-8,$\mu_0 = 100$
1000,500,0.09020304679870605,0.1,exact,0.0015532149700447917,-143202.99586905612,5,10,1.0846246341557277e-8,$\mu_0 = 100$
1000,500,0.09433794021606445,0.1,exact,0.0007546848501078784,-143202.9958690565,5,10,5.27003534757021e-9,$\mu_0 = 100$
1000,500,0.09770393371582031,0.1,exact,0.00037596889887936413,-143202.99586905664,5,10,2.6254262112166023e-9,$\mu_0 = 100$
1000,500,0.10198593139648438,0.1,exact,0.000186192337423563,-143202.99586905667,5,10,1.3001986187063805e-9,$\mu_0 = 100$
1000,500,0.1053769588470459,0.1,exact,8.997926488518715e-5,-143202.99586905667,5,10,6.283336765346953e-10,$\mu_0 = 100$
1000,500,0.10870695114135742,0.1,exact,4.3137435568496585e-5,-143202.99586905658,5,10,3.012327731463176e-10,$\mu_0 = 100$
1000,500,0.11198091506958008,0.1,exact,2.060507540591061e-5,-143202.99586905667,5,10,1.4388718113657117e-10,$\mu_0 = 100$
1000,500,0.11524200439453125,0.1,exact,9.822571882978082e-6,-143202.9958690566,5,10,1.0e-10,$\mu_0 = 100$
1000,500,1.811981201171875e-5,0.1,exact,566064.7044353923,500.0,5,10,1132.1294088707846,$\mu_0 = 300$
1000,500,0.028786182403564453,0.1,exact,396329.5889541409,-171517.2282366469,5,10,2.3107275754673133,$\mu_0 = 300$
1000,500,0.17699217796325684,0.1,exact,230794.1339074814,-337061.7478002001,5,10,0.6847236015766734,$\mu_0 = 300$
1000,500,0.18183398246765137,0.1,exact,125398.13653869246,-442364.1492643407,5,10,0.2834726474720697,$\mu_0 = 300$
1000,500,0.18674206733703613,0.1,exact,68056.64230581152,-499616.05155773927,5,10,0.13621788590182315,$\mu_0 = 300$
1000,500,0.19139409065246582,0.1,exact,38179.66780450998,-529229.1365261755,5,10,0.07214203672745374,$\mu_0 = 300$
1000,500,0.19604015350341797,0.1,exact,21024.572505748714,-546070.7402078237,5,10,0.038501554757808816,$\mu_0 = 300$
1000,500,0.20045208930969238,0.1,exact,10555.142877875129,-555925.7489719904,5,10,0.01898660549073962,$\mu_0 = 300$
1000,500,0.20679616928100586,0.1,exact,3775.360146661289,-562341.669549217,5,10,0.006713641103081841,$\mu_0 = 300$
1000,500,0.21070098876953125,0.1,exact,761.1471030195244,-564809.8450117491,5,10,0.0013476165646575994,$\mu_0 = 300$
1000,500,0.21419119834899902,0.1,exact,727.4870573299704,-565050.1568184359,5,10,0.001287473419043275,$\mu_0 = 300$
1000,500,0.2175910472869873,0.1,exact,227.50976502220146,-565071.7135009147,5,10,0.00040262104718117903,$\mu_0 = 300$
1000,500,0.22095012664794922,0.1,exact,5.778319019707851,-565072.3023387062,5,10,1.0225804725860209e-5,$\mu_0 = 300$
1000,500,0.22425508499145508,0.1,exact,1.1335187576478347,-565072.3044436838,5,10,2.0059711805620856e-6,$\mu_0 = 300$
1000,500,0.22756719589233398,0.1,exact,0.24236434558406472,-565072.3044687145,5,10,4.289085550068457e-7,$\mu_0 = 300$
1000,500,0.23086118698120117,0.1,exact,0.02501693181693554,-565072.3044693003,5,10,4.427208981765745e-8,$\mu_0 = 300$
1000,500,0.23418617248535156,0.1,exact,0.0016700375126674771,-565072.3044693074,5,10,2.955440391360018e-9,$\mu_0 = 300$
1000,500,0.2391660213470459,0.1,exact,0.0001404483336955309,-565072.3044693071,5,10,2.4854931410491663e-10,$\mu_0 = 300$
1000,500,0.24762606620788574,0.1,exact,1.4871358871459961e-5,-565072.3044693073,5,10,1.0e-10,$\mu_0 = 300$
