problem,alg,eps,npasses,primal,final_lambda,runtime,subopt,mode
w1a,Newton,0.001,88,0.0633956004551116,0.00239220465394607,0.136000000000003,1.4893847073996214e-5,Newton
w1a,Newton,0.000316227766016838,97,0.0633956004544324,0.00239220465394607,0.131,1.48938463948034e-5,Newton
w1a,Newton,0.0001,113,0.0633956004545403,0.00239220465394607,0.140000000000001,1.48938465027032e-5,Newton
w1a,Newton,3.16227766016838e-5,138,0.063393350829742,0.00239220465394607,0.149000000000001,1.2644221704397052e-5,Newton
w1a,Newton,1.0e-5,166,0.0633842349792288,0.00239220465394607,0.167000000000002,3.528371191205415e-6,Newton
w1a,Newton,3.16227766016838e-6,207,0.0633820100379352,0.00239220465394607,0.183,1.3034298975977965e-6,Newton
w1a,Newton,1.0e-6,275,0.0633812160174054,0.00239220465394607,0.213000000000001,5.094093677993072e-7,Newton
w1a,Newton,3.16227766016838e-7,349,0.0633809476157856,0.00239220465394607,0.247,2.41007747994737e-7,Newton
w1a,Newton,1.0e-7,442,0.0633807323468882,0.00239220465394607,0.305000000000003,2.573885059253822e-8,Newton
w1a,Newton,3.16227766016838e-8,557,0.0633807183093602,0.00239220465394607,0.356999999999999,1.170132260530643e-8,Newton
w1a,Newton,1.0e-8,696,0.0633807097779176,0.00239220465394607,0.449999999999999,3.1698799973778335e-9,Newton
w1a,Newton,3.16227766016838e-9,863,0.0633807072833764,0.00239220465394607,0.529,6.753387987723514e-10,Newton
w1a,Newton,1.0e-9,1028,0.0633807067895607,0.00239220465394607,0.633999999999997,1.8152310210517442e-10,Newton
w1a,Newton,3.16227766016838e-10,1202,0.063380706688498,0.00239220465394607,0.709,8.046040222975392e-11,Newton
w1a,Newton,1.0e-10,1392,0.0633807066350179,0.00239220465394607,0.823,2.698029299974536e-11,Newton
w1a,Newton,3.16227766016838e-11,1585,0.0633807066270806,0.00239220465394607,0.921000000000003,1.9043003285368343e-11,Newton
w1a,Newton,1.0e-11,1783,0.0633807066109698,0.00239220465394607,1.047,2.932196152549693e-12,Newton
w1a,Newton,3.16227766016838e-12,1983,0.0633807066080376,0.00239220465394607,1.119,1.0e-15,Newton
w1a,Newton,1.0e-12,2190,0.0633807066081524,0.00239220465394607,1.285,1.1479706074624119e-13,Newton
w1a,Newton,3.16227766016838e-13,2412,0.0633807066088401,0.00239220465394607,1.405,8.024969577746788e-13,Newton
w1a,Newton,1.0e-13,2627,0.063380706608578,0.00239220465394607,1.55,5.404010572362949e-13,Newton
w1a,MM,0.1,82,0.0652034698585034,0.00239220465394607,0.124000000000002,0.001822763250465792,MM
w1a,MM,0.0316227766016838,82,0.0652034698585034,0.00239220465394607,0.115000000000002,0.001822763250465792,MM
w1a,MM,0.01,82,0.0652034698585034,0.00239220465394607,0.117999999999995,0.001822763250465792,MM
w1a,MM,0.00316227766016838,82,0.0652034698585034,0.00239220465394607,0.117999999999995,0.001822763250465792,MM
w1a,MM,0.001,84,0.0652032437660755,0.00239220465394607,0.125,0.0018225371580379013,MM
w1a,MM,0.000316227766016838,96,0.0652018432882446,0.00239220465394607,0.119999999999997,0.0018211366802070028,MM
w1a,MM,0.0001,122,0.0651912359973978,0.00239220465394607,0.123999999999995,0.001810529389360202,MM
w1a,MM,3.16227766016838e-5,178,0.064480550424457,0.00239220465394607,0.139000000000003,0.0010998438164193935,MM
w1a,MM,1.0e-5,286,0.0638455066761553,0.00239220465394607,0.170999999999999,0.00046480006811769337,MM
w1a,MM,3.16227766016838e-6,470,0.0635462120677113,0.00239220465394607,0.225999999999999,0.00016550545967369823,MM
w1a,MM,1.0e-6,713,0.0634421439459125,0.00239220465394607,0.310000000000002,6.143733787489225e-5,MM
w1a,MM,3.16227766016838e-7,1067,0.0634003201716376,0.00239220465394607,0.466999999999999,1.961356360000166e-5,MM
w1a,MM,1.0e-7,1533,0.0633864409733102,0.00239220465394607,0.646999999999998,5.734365272597186e-6,MM
w1a,MM,3.16227766016838e-8,2110,0.0633821726443312,0.00239220465394607,0.907000000000004,1.4660362935986493e-6,MM
w1a,MM,1.0e-8,2810,0.0633810759303739,0.00239220465394607,1.172,3.6932233629660693e-7,MM
w1a,MM,3.16227766016838e-9,3584,0.0633808062361748,0.00239220465394607,1.469,9.962813719843755e-8,MM
w1a,MM,1.0e-9,4455,0.0633807357377092,0.00239220465394607,1.902,2.9129671605399032e-8,MM
w1a,MM,3.16227766016838e-10,5397,0.0633807151572076,0.00239220465394607,2.224,8.549169996929784e-9,MM
w1a,MM,1.0e-10,6308,0.0633807080521767,0.00239220465394607,2.512,1.4441390999708759e-9,MM
w1a,MM,3.16227766016838e-11,7217,0.0633807068652427,0.00239220465394607,2.89,2.5720510443694167e-10,MM
w1a,MM,1.0e-11,8177,0.0633807066668029,0.00239220465394607,3.828,5.876529818316101e-11,MM
w1a,MM,3.16227766016838e-12,9182,0.0633807066279016,0.00239220465394607,3.787,1.9863999334290838e-11,MM
w1a,MM,1.0e-12,10193,0.0633807066176173,0.00239220465394607,4.208,9.579698145856241e-12,MM
w1a,MM,3.16227766016838e-13,11192,0.0633807066131876,0.00239220465394607,4.599,5.1500054221165215e-12,MM
w1a,MM,1.0e-13,12193,0.0633807066108381,0.00239220465394607,5.70999999999999,2.800495946253534e-12,MM
news20-3pct,Newton,0.1,89,0.0497698392168635,0.00228639068886416,0.447000000000003,3.0633648049602225e-5,Newton
news20-3pct,Newton,0.0316227766016838,89,0.0497698392168635,0.00228639068886416,0.452000000000012,3.0633648049602225e-5,Newton
news20-3pct,Newton,0.01,89,0.0497698392168635,0.00228639068886416,0.440999999999988,3.0633648049602225e-5,Newton
news20-3pct,Newton,0.00316227766016838,89,0.0497698392168635,0.00228639068886416,0.498000000000005,3.0633648049602225e-5,Newton
news20-3pct,Newton,0.001,90,0.0497698392168635,0.00228639068886416,0.478999999999999,3.0633648049602225e-5,Newton
news20-3pct,Newton,0.000316227766016838,101,0.0497698392168636,0.00228639068886416,0.501000000000005,3.063364804969937e-5,Newton
news20-3pct,Newton,0.0001,124,0.0497698389853919,0.00228639068886416,0.47399999999999,3.063341657799645e-5,Newton
news20-3pct,Newton,3.16227766016838e-5,153,0.0497698568313876,0.00228639068886416,0.491,3.065126257369849e-5,Newton
news20-3pct,Newton,1.0e-5,190,0.0497631941299738,0.00228639068886416,0.48899999999999,2.398856115989889e-5,Newton
news20-3pct,Newton,3.16227766016838e-6,241,0.0497442054219524,0.00228639068886416,0.516000000000005,4.999853138502874e-6,Newton
news20-3pct,Newton,1.0e-6,301,0.0497418445316476,0.00228639068886416,0.581000000000003,2.6389628337009086e-6,Newton
news20-3pct,Newton,3.16227766016838e-7,369,0.0497401620519823,0.00228639068886416,0.606999999999999,9.564831683975261e-7,Newton
news20-3pct,Newton,1.0e-7,449,0.0497394106795407,0.00228639068886416,0.701000000000008,2.0511072679890718e-7,Newton
